run,ml_accuracy,ml_f1,rule_accuracy,rule_f1,hybrid_accuracy,hybrid_f1
176,0.597,0.595556966970743,0.572,0.5583441914758791,0.572,0.5616597812026879
191,0.602,0.5928716658567629,0.552,0.5439827077840208,0.565,0.5596959648336641
200,0.624,0.6204417385713092,0.578,0.5668722588798271,0.597,0.5895331787701732
212,0.592,0.589632196093796,0.549,0.5408446590250405,0.559,0.5476069192178604
208,0.556,0.5488749205185527,0.561,0.5522322961902684,0.531,0.5189312282405524
179,0.581,0.5771244885050953,0.57,0.5580881243447221,0.537,0.5271878098963483
227,0.586,0.5837380326421423,0.565,0.5539986731149197,0.565,0.5558488835954437
174,0.581,0.5779752149509129,0.568,0.5599525506190614,0.572,0.5598397787403141
217,0.578,0.5747518115010486,0.547,0.5400550208457844,0.57,0.5575444521431159
165,0.596,0.59077896420271,0.59,0.579904409353451,0.584,0.571173743092893
195,0.579,0.5727610482010697,0.549,0.5360222225016557,0.551,0.540618916976605
186,0.575,0.5732975638811573,0.57,0.5586243884495206,0.559,0.5454288526595535
184,0.586,0.5852384868107728,0.536,0.5302355678548318,0.545,0.5405801466537641
241,0.565,0.5594921371506956,0.559,0.5504876297294113,0.558,0.5496034196040583
175,0.583,0.5801980245568893,0.554,0.5417337882637118,0.579,0.5667367654621134
199,0.578,0.5763697986974764,0.546,0.5334382460853252,0.575,0.567291778670293
245,0.602,0.6010712064081519,0.551,0.5459526501969006,0.574,0.5620131359020082
206,0.575,0.5678954683621543,0.548,0.533981122303354,0.544,0.5396931783138975
172,0.611,0.608348461948777,0.548,0.5375621464418914,0.604,0.5925507885724884
192,0.599,0.5938012134009466,0.573,0.5609539632239829,0.6,0.5905990271304923
149,0.582,0.5776142806935886,0.543,0.5328119935260891,0.544,0.5391268900142895
218,0.61,0.6056511141310209,0.542,0.531046042660071,0.586,0.574516579814593
190,0.572,0.5678819133063208,0.553,0.5425289217491379,0.555,0.5499593491329429
205,0.593,0.5908964602671293,0.523,0.514305903686713,0.574,0.5674422758575581
216,0.563,0.5623256991092188,0.537,0.525937228477059,0.55,0.543161254088168
220,0.582,0.5799228623911439,0.549,0.5440555510169327,0.565,0.5557962009461118
240,0.593,0.5869620737048978,0.535,0.5211042542187191,0.535,0.526621438587673
207,0.566,0.5605818271232769,0.551,0.5438937539938026,0.549,0.5409252173478111
