run,ml_accuracy,ml_f1,rule_accuracy,rule_f1,hybrid_accuracy,hybrid_f1
204,0.5925,0.5899327889264163,0.5715,0.5606783533921429,0.572,0.560417287403305
205,0.594,0.5886241816915025,0.545,0.5371336648968844,0.561,0.5510866004757786
206,0.6075,0.6057742535982857,0.5295,0.5188140765019634,0.5545,0.5479546657555849
207,0.603,0.5969712652315686,0.546,0.5376501111657476,0.544,0.5353521553979586
208,0.5945,0.5917768296700882,0.5645,0.5552244810455506,0.5665,0.5578394086775941
209,0.589,0.5862595176025075,0.5495,0.5392784188316577,0.56,0.5514463849166772
210,0.6025,0.5993356858400674,0.5735,0.5644390272757581,0.5685,0.5623384061332946
211,0.603,0.6007339023285613,0.551,0.5418102059844565,0.565,0.5541176930735161
212,0.6145,0.6146038838930294,0.546,0.5385785250471004,0.578,0.5692714376501842
213,0.603,0.6006096883515167,0.537,0.5247324266240377,0.5615,0.5523105445450095
214,0.5935,0.5936865668529775,0.557,0.5489251933398994,0.5495,0.5384815745716353
215,0.5885,0.5860586769262094,0.538,0.5272510208122599,0.548,0.537938769908099
216,0.6085,0.6050371913661428,0.553,0.541356665810326,0.5605,0.5519461637578803
217,0.592,0.5902390708992046,0.565,0.5519429117121042,0.5485,0.5372064648611065
218,0.6135,0.6122164019871228,0.5675,0.5582327615837098,0.572,0.5637030779119084
219,0.6345,0.6308821179014964,0.5545,0.546558476622274,0.568,0.5634385782240617
220,0.6145,0.6108117408489645,0.545,0.5361167374404733,0.57,0.5600007961302672
221,0.5995,0.5953427993742427,0.553,0.5428903810833344,0.564,0.5584892547937585
222,0.602,0.5981218166871912,0.561,0.5501194354919153,0.532,0.5239996143870695
223,0.6025,0.5982875520227439,0.56,0.5494157570618078,0.547,0.5368342896855416
224,0.613,0.6101852856153247,0.5635,0.5539650768604728,0.5755,0.5678594267476881
225,0.6085,0.6068510972772797,0.5445,0.533821544985669,0.585,0.5752167626270298
226,0.595,0.58729967541979,0.5555,0.5430308081870764,0.5315,0.5216791023311994
227,0.6,0.5970084687165728,0.556,0.5482763004590647,0.566,0.5582387763713875
228,0.5985,0.5947831715658962,0.551,0.5417279329802972,0.5745,0.5653236420264979
229,0.595,0.59278794430658,0.5475,0.5419521583945458,0.5655,0.5567218719830507
230,0.588,0.5841093439566899,0.533,0.5214021311550966,0.537,0.5308296398945824
231,0.613,0.6091959681113194,0.57,0.5589238105539546,0.5655,0.557709002004991
232,0.609,0.6044437480159827,0.5465,0.5323056320466698,0.5575,0.5503513877252386
233,0.586,0.5853292118835298,0.541,0.535557665672309,0.559,0.547285521966831
234,0.5955,0.5941294173979306,0.5485,0.5406256972317626,0.5625,0.5520143219111334
235,0.5955,0.592626365526654,0.5515,0.5418672317474651,0.565,0.5561272819060002
236,0.5965,0.5979292034298872,0.546,0.5383040185621785,0.5755,0.5647712819440979
237,0.5945,0.5919790015855018,0.551,0.5452278943554064,0.5575,0.5476039904800518
238,0.603,0.5988725957920856,0.5555,0.5429477406878537,0.529,0.5181859129727808
239,0.607,0.605746236914102,0.5395,0.5284940141579649,0.5615,0.5478890648676049
240,0.598,0.5902793989219622,0.5475,0.5372239012173082,0.562,0.5530136238993669
241,0.605,0.6020120276220786,0.5545,0.5431918154608166,0.5755,0.563909414334108
242,0.602,0.5955850193677565,0.5615,0.5499763520888766,0.5645,0.5587782575726463
243,0.5905,0.5870143850922923,0.5295,0.5164535415004378,0.5665,0.5565738282560441
244,0.598,0.5958612712797494,0.536,0.5331469748400458,0.566,0.5568457063029384
245,0.611,0.6053260671760189,0.5565,0.5448187212035654,0.5645,0.5535512355334967
246,0.606,0.6025687841913371,0.5525,0.5460989454520826,0.546,0.5349628376336939
247,0.6225,0.6165543181626559,0.564,0.5535907062460876,0.559,0.5513570788267009
248,0.589,0.588347255041853,0.5595,0.5514123784374195,0.5595,0.5503751180412563
249,0.5945,0.5925197021809426,0.55,0.539265911711921,0.5615,0.5514899140651424
250,0.58,0.5790300773342126,0.5535,0.5460003858068223,0.5705,0.5603143354076732
251,0.592,0.589241977748698,0.5435,0.5323197297056993,0.5565,0.5454553622692697
252,0.597,0.5950378754037845,0.5535,0.5441982429648283,0.5565,0.5465541371714769
253,0.603,0.5990511309784224,0.565,0.557598009509272,0.571,0.5624963095468182
254,0.598,0.5932713374671081,0.559,0.5485428693997266,0.56,0.5549848040502247
255,0.6225,0.6159429826496466,0.549,0.5342911239877344,0.562,0.5552411649033858
256,0.6015,0.5968749402804058,0.5565,0.5479694912212,0.559,0.5492277835630531
257,0.6005,0.596640474263736,0.534,0.5244678662969748,0.554,0.543470947363362
258,0.616,0.6170772998695374,0.5485,0.539942180766923,0.5955,0.5842363075499489
259,0.613,0.6103603603603603,0.5495,0.538139659151815,0.5545,0.5470932126443242
260,0.607,0.607288186723437,0.55,0.5414160120503697,0.5435,0.5354109828485872
261,0.5945,0.5909275997161858,0.5315,0.5230500154947969,0.5635,0.555279790936622
262,0.597,0.5943776831253629,0.561,0.5507476944760391,0.558,0.5483489253819979
263,0.591,0.587196064274509,0.5445,0.532586028434589,0.5525,0.5399128532394982
264,0.614,0.6111788725439947,0.567,0.5555675776528134,0.563,0.5521736672918225
265,0.6115,0.6102029961688842,0.5495,0.5421636077981793,0.5855,0.5732101139380826
